Counties,Estimates
".Rusk County, Texas","53,333"
".Sabine County, Texas","10,048"
".San Augustine County, Texas","7,857"
".San Jacinto County, Texas","28,348"
".San Patricio County, Texas","69,954"
".San Saba County, Texas","5,824"
".Schleicher County, Texas","2,357"
".Scurry County, Texas","16,686"
".Shackelford County, Texas","3,186"
".Shelby County, Texas","24,008"
".Sherman County, Texas","2,799"
".Smith County, Texas","241,922"
".Somervell County, Texas","9,757"
".Starr County, Texas","65,728"
".Stephens County, Texas","9,390"
".Sterling County, Texas","1,417"
".Stonewall County, Texas","1,182"
".Sutton County, Texas","3,217"
".Swisher County, Texas","6,881"
".Tarrant County, Texas","2,154,595"
".Taylor County, Texas","145,163"
".Terrell County, Texas",693
".Terry County, Texas","11,567"
".Throckmorton County, Texas","1,550"
".Titus County, Texas","31,208"
".Tom Green County, Texas","118,892"
".Travis County, Texas","1,326,436"
".Trinity County, Texas","13,996"
".Tyler County, Texas","20,030"
".Upshur County, Texas","42,488"
".Upton County, Texas","3,152"
".Uvalde County, Texas","24,940"
".Val Verde County, Texas","47,606"
".Van Zandt County, Texas","62,859"
".Victoria County, Texas","91,065"
".Walker County, Texas","78,870"
".Waller County, Texas","61,894"
".Ward County, Texas","10,964"
".Washington County, Texas","36,159"
".Webb County, Texas","267,780"
".Wharton County, Texas","41,824"
".Wheeler County, Texas","4,807"
".Wichita County, Texas","129,978"
".Wilbarger County, Texas","12,491"
".Willacy County, Texas","20,143"
".Williamson County, Texas","671,418"
".Wilson County, Texas","52,735"
".Winkler County, Texas","7,306"
".Wise County, Texas","74,895"
".Wood County, Texas","46,857"
".Yoakum County, Texas","7,451"
".Young County, Texas","17,962"
".Zapata County, Texas","13,849"
".Zavala County, Texas","9,377"
