FIPS,GDP_ALL,OBJECTID
26103,3203275000,332
26135,233602000,333
26147,5605717000,334
26163,105130202000,335
27023,715665000,336
27053,143512027000,337
27077,202417000,338
27091,1286485000,339
27129,850448000,340
27139,6769456000,341
27163,11522724000,342
28007,500095000,343
28033,5829955000,344
28055,31410000,345
28075,3388489000,346
28143,586756000,347
28157,162610000,348
28163,760338000,349
29023,1543444000,350
29029,1635897000,351
29031,4315466000,352
29033,420931000,353
17075,1182853000,354
17129,269932000,355
17161,11017815000,356
17175,225999000,357
17185,401293000,358
18009,335897000,359
18035,4309940000,360
18067,4472655000,361
18083,2019473000,362
18159,603798000,363
18175,648694000,364
49025,349316000,365
5003,933950000,366
5007,14871854000,367
5013,393105000,368
5045,3930104000,369
13051,19776670000,370
13077,4689410000,371
13123,884034000,372
13133,724368000,373
13137,1587875000,374
13139,11123749000,375
13143,860172000,376
13157,3270561000,377
13171,449435000,378
13181,160767000,379
13185,5419688000,380
13195,498383000,381
13213,1279330000,382
13217,3130936000,383
13237,584811000,384
13245,13436906000,385
13251,354096000,386
13269,246717000,387
13279,1112064000,388
23023,1717498000,389
23031,8659123000,390
24001,3388935000,391
24005,59076684000,392
24017,5952468000,393
24021,14286591000,394
24031,95585447000,395
24045,5547330000,396
28149,2465505000,397
28151,1615630000,398
29041,321815000,399
29069,891584000,400
29087,266959000,401
29113,1240449000,402
29159,1792374000,403
29183,17172254000,404
29195,976678000,405
29197,113731000,406
29201,1690124000,407
30001,457832000,408
30013,4123936000,409
30027,584930000,410
30031,6288195000,411
30045,123076000,412
30049,3670780000,413
30055,108566000,414
30059,73994000,415
30069,18403000,416
30073,266923000,417
30083,873836000,418
30099,297569000,419
31103,38994000,420
31151,942349000,421
32001,1253904000,422
32003,128496477000,423
32015,862670000,424
33007,1366542000,425
33015,22545810000,426
33017,6172554000,427
34001,14718904000,428
34005,29321002000,429
34015,15134409000,430
34019,7731670000,431
34021,36074135000,432
34025,36692148000,433
34029,21607555000,434
34035,42157868000,435
21229,370171000,436
21231,446673000,437
22035,196608000,438
22045,3284076000,439
22053,927219000,440
22055,14071797000,441
6055,11816527000,442
6059,269229776000,443
6069,2662858000,444
6073,253117792000,445
6079,19065947000,446
6083,31348798000,447
6097,33339740000,448
6101,4251128000,449
6107,20705405000,450
6113,16533188000,451
8019,559651000,452
8023,115606000,453
8031,81827595000,454
8037,4281672000,455
8055,300832000,456
1049,2081054000,457
1063,264592000,458
1087,591411000,459
1091,796000000,460
1095,3611518000,461
1101,14470534000,462
1107,437726000,463
1115,2080921000,464
1119,360977000,465
1131,466612000,466
2090,5977140000,467
2158,181696000,468
2240,609102000,469
4005,7887058000,470
4009,1278684000,471
4013,263652777000,472
54001,407680000,473
54005,616169000,474
54021,186274000,475
54039,11169336000,476
54045,1321914000,477
54047,595180000,478
54063,246006000,479
54067,669032000,480
54087,309126000,481
54107,3676072000,482
55003,821602000,483
55043,2358191000,484
55113,727514000,485
56029,1489959000,486
12086,175673903000,487
12093,1649089000,488
12097,10567523000,489
13021,9430929000,490
13029,1015383000,491
39137,1318585000,492
39175,1108645000,493
40013,1713517000,494
40027,8299352000,495
40057,94387000,496
40067,127964000,497
40075,271886000,498
40095,451814000,499
40125,2208236000,500
40135,820231000,501
40143,49039569000,502
27011,255409000,503
27013,4352610000,504
27031,296362000,505
27061,2389710000,506
27073,350433000,507
27075,762839000,508
27089,380647000,509
27097,1259222000,510
27127,936413000,511
27161,833846000,512
27171,4881963000,513
28001,1012775000,514
28011,1150261000,515
28029,643170000,516
28043,982537000,517
28083,1274888000,518
28087,3054912000,519
28103,267898000,520
28121,6559378000,521
35015,8434365000,522
35039,1200326000,523
35045,5856995000,524
35055,1064300000,525
36025,2253409000,526
36031,1791129000,527
36103,97131636000,528
36105,3316941000,529
36119,86228480000,530
36123,973908000,531
37009,824835000,532
37013,2565488000,533
37017,1428558000,534
37023,2926084000,535
37037,1745881000,536
37043,255284000,537
37053,760491000,538
37057,5305126000,539
37065,1823187000,540
37075,266975000,541
37085,2648298000,542
37089,4231251000,543
37095,186941000,544
37103,216561000,545
37115,468260000,546
37123,942233000,547
28141,565119000,548
42099,978915000,549
42103,1448680000,550
42127,1902707000,551
42133,21925823000,552
48411,201600000,553
48429,439990000,554
48449,1985300000,555
48453,125274912000,556
48455,261373000,557
48467,1297761000,558
48473,2640237000,559
48479,11126450000,560
49033,153663000,561
49045,1875916000,562
49047,1717996000,563
49051,1048992000,564
50017,861642000,565
50027,2732285000,566
51007,302789000,567
51017,229008000,568
51019,2211912000,569
51023,1377893000,570
51033,714656000,571
51036,213368000,572
51041,15769459000,573
51057,425210000,574
51067,1602679000,575
51083,1375150000,576
51091,74192000,577
51107,28091352000,578
51111,288113000,579
51127,523814000,580
51133,471040000,581
51159,321561000,582
51179,5651123000,583
51187,1937922000,584
53047,1677354000,585
53049,857066000,586
53053,47766058000,587
53061,53124618000,588
53071,3946182000,589
53073,15102906000,590
54013,126729000,591
54017,886689000,592
54019,1109862000,593
54023,471270000,594
54027,369235000,595
54033,4660093000,596
54037,1779345000,597
54043,246249000,598
54065,307285000,599
54071,157434000,600
54081,3150440000,601
54093,309932000,602
54095,608823000,603
37133,9206722000,604
37137,303728000,605
37149,503726000,606
37153,2092790000,607
37161,1983692000,608
37163,2025979000,609
37177,131695000,610
38005,260740000,611
38033,85624000,612
38053,2849766000,613
38059,1612998000,614
38067,524917000,615
38071,639184000,616
22067,683346000,617
22069,1534188000,618
22079,6033008000,619
22097,2664609000,620
22107,166477000,621
22113,1609396000,622
22117,1193167000,623
22123,222693000,624
23007,1209699000,625
8065,368996000,626
8071,657578000,627
8093,536028000,628
8105,562219000,629
8113,716960000,630
9001,93201734000,631
9007,10039806000,632
9011,19956591000,633
10005,13510330000,634
12033,17355269000,635
12037,442332000,636
12041,374380000,637
12047,584653000,638
12053,4586156000,639
12071,32682667000,640
19009,332566000,641
19027,1482176000,642
19075,584475000,643
19113,17094735000,644
19147,615547000,645
19195,351622000,646
20069,630771000,647
20143,156789000,648
20181,310386000,649
21005,577764000,650
21025,251148000,651
21029,2595235000,652
21033,428140000,653
21043,534389000,654
21049,1576002000,655
21063,85852000,656
21071,1141445000,657
21085,720612000,658
21097,588357000,659
21109,184070000,660
21119,248661000,661
21125,2240560000,662
21135,212244000,663
21139,300208000,664
21153,163865000,665
21159,250806000,666
21167,913451000,667
21181,97676000,668
21183,948548000,669
21193,1025871000,670
21197,228059000,671
21205,797403000,672
54109,544875000,673
55023,834304000,674
55037,132227000,675
55051,200717000,676
55069,1662945000,677
55075,2090379000,678
55111,4255956000,679
41007,2180386000,680
41017,10042937000,681
41019,4131931000,682
41065,1436013000,683
42003,105116796000,684
42027,9186815000,685
42033,3051586000,686
